"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Pasteurella multocida","MYC",-0.2639,-0.0584,0.3442,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas azotoformans","CTNNB1",-0.2624,0.0289,0.671,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas azotoformans","MYC",-0.2624,0.0217,0.7548,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas azotoformans","CCND1",-0.2624,-0.1077,0.0582,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas aeruginosa","MYC",-0.2555,-0.1061,0.0624,FALSE,TRUE,"novel",FALSE
"s  Hydrogenophaga sp. NH-16","CTNNB1",-0.2402,-0.1087,0.0558,FALSE,TRUE,"novel",FALSE
"s  Hydrogenophaga sp. NH-16","MYC",-0.2402,-0.0446,0.4905,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas fragi","CTNNB1",-0.2393,0.0496,0.4326,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas fragi","MYC",-0.2393,0.0927,0.1101,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas fragi","CCND1",-0.2393,-0.0948,0.1017,FALSE,TRUE,"novel",FALSE
"s  Escherichia marmotae","CTNNB1",-0.2367,0.0342,0.6088,FALSE,TRUE,"novel",FALSE
"s  Escherichia marmotae","MYC",-0.2367,0.0341,0.6099,FALSE,TRUE,"novel",FALSE
"s  Streptococcus gordonii","CTNNB1",-0.2237,-0.1085,0.0562,FALSE,TRUE,"literature-supported",FALSE
"s  Streptococcus gordonii","MYC",-0.2237,-0.0547,0.382,FALSE,TRUE,"literature-supported",FALSE
"s  Polynucleobacter sp. MWH-S4W17","CTNNB1",-0.2236,-0.0943,0.1032,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. MWH-S4W17","MYC",-0.2236,0.0116,0.872,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. MWH-S4W17","CCND1",-0.2236,-0.0721,0.2274,FALSE,TRUE,"novel",FALSE
"s  Porphyrobacter sp. GA68","MYC",-0.2199,-0.091,0.1168,FALSE,TRUE,"novel",FALSE
"s  Escherichia coli","CTNNB1",-0.2167,-0.013,0.8553,FALSE,TRUE,"novel",FALSE
